image_id,original_image,region,region_file,pixel_count
10,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/10.png,288218
10,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/10.png,145976
10,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/10.png,177101
10,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/10.png,288876
10,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/10.png,148637
11,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/11.png,244058
11,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/11.png,116964
11,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/11.png,126246
11,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/11.png,239850
11,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/11.png,147818
13,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/13.png,202309
13,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/13.png,196004
13,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/13.png,163669
13,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/13.png,232190
13,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/13.png,160752
17,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/17.png,182366
17,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/17.png,169773
17,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/17.png,154381
17,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/17.png,217704
17,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/17.png,142108
19,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/19.png,433492
19,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/19.png,451222
19,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/19.png,385587
19,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/19.png,524124
19,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/19.png,365282
2,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/2.png,139923
2,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/2.png,118940
2,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/2.png,119281
2,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/2.png,173362
2,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/2.png,114553
20,/Users/yuchiwu/Desktop/tongue_project/images_json/20.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/20.png,408157
20,/Users/yuchiwu/Desktop/tongue_project/images_json/20.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/20.png,273468
20,/Users/yuchiwu/Desktop/tongue_project/images_json/20.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/20.png,286064
20,/Users/yuchiwu/Desktop/tongue_project/images_json/20.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/20.png,399900
20,/Users/yuchiwu/Desktop/tongue_project/images_json/20.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/20.png,249068
23,/Users/yuchiwu/Desktop/tongue_project/images_json/23.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/23.png,437117
23,/Users/yuchiwu/Desktop/tongue_project/images_json/23.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/23.png,392597
23,/Users/yuchiwu/Desktop/tongue_project/images_json/23.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/23.png,321614
23,/Users/yuchiwu/Desktop/tongue_project/images_json/23.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/23.png,486880
23,/Users/yuchiwu/Desktop/tongue_project/images_json/23.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/23.png,338830
24,/Users/yuchiwu/Desktop/tongue_project/images_json/24.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/24.png,412394
24,/Users/yuchiwu/Desktop/tongue_project/images_json/24.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/24.png,284282
24,/Users/yuchiwu/Desktop/tongue_project/images_json/24.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/24.png,246163
24,/Users/yuchiwu/Desktop/tongue_project/images_json/24.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/24.png,369453
24,/Users/yuchiwu/Desktop/tongue_project/images_json/24.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/24.png,254471
26,/Users/yuchiwu/Desktop/tongue_project/images_json/26.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/26.png,483278
26,/Users/yuchiwu/Desktop/tongue_project/images_json/26.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/26.png,318411
26,/Users/yuchiwu/Desktop/tongue_project/images_json/26.jpg,舌左邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌左邊/26.png,346406
26,/Users/yuchiwu/Desktop/tongue_project/images_json/26.jpg,舌中,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌中/26.png,510099
26,/Users/yuchiwu/Desktop/tongue_project/images_json/26.jpg,舌右邊,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌右邊/26.png,353375
27,/Users/yuchiwu/Desktop/tongue_project/images_json/27.jpg,舌根,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌根/27.png,659221
27,/Users/yuchiwu/Desktop/tongue_project/images_json/27.jpg,舌尖,/Users/yuchiwu/Desktop/tongue_project/output/regions_temp/舌尖/27.png,587704
